2019-06-11T12:55:48.130467Z,"[""eui-0000024b08031311""]",[-115],[2.5],[43.47502],[5.60771],[216],[2771096612]

2019-06-11T12:55:49.404321Z,"[""eui-b827ebfffe962101"",""eui-b827ebfffe869f8d""]","[-115,-105]","[-10.8,7]","[43.61523,43.61499]","[7.07274,7.07144]","[113,129]","[1030953164,1068964612]"

2019-06-11T12:56:04.376433Z,"[""eui-0000024b08031311""]",[-114],[3.8],[43.47499],[5.60772],[215],[2787342580]

2019-06-11T12:56:08.905808Z,"[""eui-b827ebfffe962101"",""eui-b827ebfffe869f8d""]","[-115,-111]","[-7.5,-2.2]","[43.61523,43.61499]","[7.07274,7.07144]","[113,129]","[1050458276,1088469724]"

2019-06-11T12:56:14.39615Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-109,-117]","[5.8,-8.8]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1093963132,1055951684]"

2019-06-11T12:56:18.887533Z,"[""eui-0000024b08031311""]",[-118],[0],[43.47499],[5.60772],[215],[2801853684]

2019-06-11T12:56:20.622333Z,"[""eui-0000024b08031311""]",[-110],[5.8],[43.47499],[5.60772],[215],[2803588484]

2019-06-11T12:56:33.900902Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-109,-119]","[4.5,-3.8]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1113468324,1075456884]"

2019-06-11T12:56:36.868281Z,"[""eui-0000024b08031311""]",[-109],[6.2],[43.47497],[5.6077],[219],[2819834436]

2019-06-11T12:56:39.400651Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-109,-117]","[1.5,-9]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1118962828,1080951388]"

2019-06-11T12:56:53.114178Z,"[""eui-0000024b08031311""]",[-111],[5.5],[43.47497],[5.6077],[219],[2836080340]

2019-06-11T12:57:03.901263Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-106,-119]","[5.5,-10.8]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1143467020,1105455596]"

2019-06-11T12:57:04.397747Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-105,-115]","[6.8,-4.5]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1143961492,1105950060]"

2019-06-11T12:57:09.36012Z,"[""eui-0000024b08031311""]",[-115],[2],[43.47496],[5.60768],[224],[2852326284]

2019-06-11T12:57:25.606044Z,"[""eui-0000024b08031311""]",[-113],[2],[43.47495],[5.60769],[224],[2868572212]

2019-06-11T12:57:28.906401Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-111,-120]","[3.8,-11.8]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1168466900,1130455476]"

2019-06-11T12:57:29.393069Z,"[""eui-b827ebfffe869f8d""]",[-109],[3.5],[43.61499],[7.07144],[129],[1168960188]

2019-06-11T12:57:38.440423Z,"[""eui-0000024b08031311""]",[-118],[-10],[43.47495],[5.60769],[224],[2881406596]

2019-06-11T12:57:41.851984Z,"[""eui-0000024b08031311""]",[-109],[6.5],[43.47495],[5.60769],[224],[2884818156]

2019-06-11T12:57:53.898344Z,"[""eui-b827ebfffe962101"",""eui-b827ebfffec116c2"",""eui-b827ebfffe869f8d"",""eui-b827ebfffec01aae""]","[-107,-114,-90,-96]","[11,-13,12.2,-8]","[43.61523,43.61685,43.61499,43.61528]","[7.07274,7.06502,7.07144,7.06897]","[113,130,129,null]","[1155453988,1973298932,1193465404,99931988]"

2019-06-11T12:57:54.390873Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-109,-119]","[4,-6.8]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1193958820,1155947404]"

2019-06-11T12:57:58.097897Z,"[""eui-0000024b08031311""]",[-112],[-8.5],[43.47498],[5.60769],[225],[2901064076]

2019-06-11T12:58:14.343815Z,"[""eui-0000024b08031311""]",[-115],[-4.2],[43.47498],[5.60769],[225],[2917309996]

2019-06-11T12:58:18.899246Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-108,-117]","[6,-4.8]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1218465116,1180453708]"

2019-06-11T12:58:20.894538Z,"[""eui-b827ebfffe869f8d""]",[-105],[5.5],[43.61499],[7.07144],[129],[1220458148]

2019-06-11T12:58:30.589739Z,"[""eui-0000024b08031311""]",[-115],[0],[43.47497],[5.60768],[225],[2933555924]

2019-06-11T12:58:43.898316Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-102,-119]","[6,-6.5]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1243463844,1205452444]"

2019-06-11T12:58:45.893815Z,"[""eui-b827ebfffe869f8d""]",[-103],[5.2],[43.61499],[7.07144],[129],[1245456948]

2019-06-11T12:58:46.835687Z,"[""eui-0000024b08031311""]",[-118],[-5.2],[43.47497],[5.60768],[225],[2949801876]

2019-06-11T12:58:58.871204Z,"[""eui-0000024b08031311""]",[-119],[-5.5],[43.47498],[5.60768],[226],[2961837396]

2019-06-11T12:59:03.081611Z,"[""eui-0000024b08031311""]",[-113],[4.2],[43.47498],[5.60768],[226],[2966047804]

2019-06-11T12:59:08.896029Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-103,-118]","[7,-9]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1268462612,1230451220]"

2019-06-11T12:59:10.888714Z,"[""eui-b827ebfffe962101"",""eui-b827ebfffe869f8d""]","[-117,-107]","[-9,7.5]","[43.61523,43.61499]","[7.07274,7.07144]","[113,129]","[1232444164,1270455564]"

2019-06-11T12:59:19.327518Z,"[""eui-0000024b08031311""]",[-107],[6.5],[43.47498],[5.60768],[226],[2982293716]

2019-06-11T12:59:33.902646Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-103,-118]","[9,-5.2]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1293462324,1255450932]"

2019-06-11T12:59:35.573458Z,"[""eui-0000024b08031311""]",[-111],[-0.5],[43.47496],[5.60768],[228],[2998539660]

2019-06-11T12:59:35.887942Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-102,-118]","[6.5,-8.5]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1295455444,1257444060]"

2019-06-11T12:59:51.819398Z,"[""eui-0000024b08031311""]",[-107],[5.5],[43.47496],[5.60768],[228],[3014785604]

2019-06-11T12:59:58.8982Z,"[""eui-b827ebfffe869f8d""]",[-108],[6],[43.61499],[7.07144],[129],[1318461220]

2019-06-11T13:00:00.887743Z,"[""eui-b827ebfffe962101"",""eui-b827ebfffe869f8d""]","[-117,-107]","[-4.5,5.5]","[43.61523,43.61499]","[7.07274,7.07144]","[113,129]","[1282442044,1320453428]"

2019-06-11T13:00:08.065298Z,"[""eui-0000024b08031311""]",[-110],[4.8],[43.47498],[5.60767],[225],[3031031508]

2019-06-11T13:00:18.424983Z,"[""eui-0000024b08031311""]",[-117],[-2],[43.47498],[5.60767],[225],[3041391196]

2019-06-11T13:00:23.895482Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-108,-120]","[6.8,-10]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1343460052,1305448676]"

2019-06-11T13:00:24.311261Z,"[""eui-0000024b08031311""]",[-110],[1.2],[43.47499],[5.60767],[222],[3047277476]

2019-06-11T13:00:25.890888Z,"[""eui-b827ebfffe869f8d""]",[-107],[4.8],[43.61499],[7.07144],[129],[1345453324]

2019-06-11T13:00:40.557177Z,"[""eui-0000024b08031311""]",[-111],[-2.8],[43.47499],[5.60767],[222],[3063523396]

2019-06-11T13:00:48.89071Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-106,-119]","[4.2,-7.2]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1368458868,1330447500]"

2019-06-11T13:00:50.886169Z,"[""eui-b827ebfffe869f8d""]",[-105],[5.8],[43.61499],[7.07144],[129],[1370452228]

2019-06-11T13:00:56.803117Z,"[""eui-0000024b08031311""]",[-115],[-4],[43.47496],[5.60766],[225],[3079769340]

2019-06-11T13:01:13.049025Z,"[""eui-0000024b08031311""]",[-115],[1.5],[43.47496],[5.60766],[225],[3096015252]

2019-06-11T13:01:13.893919Z,"[""eui-b827ebfffe962101"",""eui-b827ebfffe869f8d""]","[-117,-106]","[-2.5,4.2]","[43.61523,43.61499]","[7.07274,7.07144]","[113,129]","[1355447252,1393458620]"

2019-06-11T13:01:15.884272Z,"[""eui-b827ebfffe869f8d""]",[-107],[7.5],[43.61499],[7.07144],[129],[1395450292]

2019-06-11T13:01:29.29498Z,"[""eui-0000024b08031311""]",[-112],[2.2],[43.47492],[5.60764],[228],[3112261212]

2019-06-11T13:01:37.856378Z,"[""eui-0000024b08031311""]",[-118],[-5],[43.47492],[5.60764],[228],[3120822612]

2019-06-11T13:01:38.893088Z,"[""eui-b827ebfffe869f8d""]",[-103],[7.5],[43.61499],[7.07144],[129],[1418457540]

2019-06-11T13:01:40.881359Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-105,-117]","[6.8,-12.5]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1420449268,1382437908]"

2019-06-11T13:01:45.540904Z,"[""eui-0000024b08031311""]",[-112],[4.2],[43.47492],[5.60764],[228],[3128507140]

2019-06-11T13:02:01.786852Z,"[""eui-0000024b08031311""]",[-112],[-2],[43.47491],[5.60763],[227],[3144753092]

2019-06-11T13:02:03.892792Z,"[""eui-b827ebfffe869f8d""]",[-102],[7],[43.61499],[7.07144],[129],[1443456396]

2019-06-11T13:02:05.887323Z,"[""eui-b827ebfffe962101"",""eui-b827ebfffe869f8d""]","[-119,-107]","[-14.5,8.8]","[43.61523,43.61499]","[7.07274,7.07144]","[113,129]","[1407436852,1445448204]"

2019-06-11T13:02:28.890378Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-108,-119]","[6.2,-9.8]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1468455324,1430443980]"

2019-06-11T13:02:30.8858Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-109,-116]","[-2,-11.8]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1470447236,1432435892]"

2019-06-11T13:02:34.278691Z,"[""eui-0000024b08031311""]",[-113],[3],[43.47493],[5.60761],[225],[3177244940]

2019-06-11T13:02:50.524638Z,"[""eui-0000024b08031311""]",[-118],[-6.2],[43.47493],[5.60761],[225],[3193490892]

2019-06-11T13:02:53.890276Z,"[""eui-b827ebfffe962101"",""eui-b827ebfffe869f8d""]","[-118,-108]","[-13.5,3]","[43.61523,43.61499]","[7.07274,7.07144]","[113,129]","[1455442948,1493454284]"

2019-06-11T13:02:55.883751Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-109,-117]","[-0.8,-12.2]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1495446268,1457434932]"

2019-06-11T13:02:57.409261Z,"[""eui-0000024b08031311""]",[-117],[-2.8],[43.47495],[5.60761],[224],[3200375516]

2019-06-11T13:03:06.770563Z,"[""eui-0000024b08031311""]",[-109],[6.8],[43.47495],[5.60761],[224],[3209736820]

2019-06-11T13:03:18.894721Z,"[""eui-b827ebfffe869f8d""]",[-105],[6.2],[43.61499],[7.07144],[129],[1518454252]

2019-06-11T13:03:20.878177Z,"[""eui-b827ebfffe869f8d""]",[-106],[5],[43.61499],[7.07144],[129],[1520445500]

2019-06-11T13:03:23.016526Z,"[""eui-0000024b08031311""]",[-111],[-6.8],[43.47495],[5.60761],[224],[3225982788]

2019-06-11T13:03:43.890478Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-107,-119]","[6.5,-11.8]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1543453276,1505441956]"

2019-06-11T13:03:45.879236Z,"[""eui-b827ebfffe962101"",""eui-b827ebfffe869f8d""]","[-119,-105]","[-14.5,5.8]","[43.61523,43.61499]","[7.07274,7.07144]","[113,129]","[1507433284,1545444604]"

2019-06-11T13:03:55.508414Z,"[""eui-0000024b08031311""]",[-117],[1.2],[43.47496],[5.60764],[223],[3258474684]

2019-06-11T13:04:08.886355Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-105,-120]","[7,-8.8]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1568452284,1530440972]"

2019-06-11T13:04:10.879746Z,"[""eui-b827ebfffe962101"",""eui-b827ebfffe869f8d""]","[-119,-109]","[-11.2,5.2]","[43.61523,43.61499]","[7.07274,7.07144]","[113,129]","[1532432372,1570443684]"

2019-06-11T13:04:11.754322Z,"[""eui-0000024b08031311""]",[-114],[3.2],[43.47496],[5.60764],[223],[3274720596]

2019-06-11T13:04:28.000294Z,"[""eui-0000024b08031311""]",[-117],[-3.2],[43.475],[5.60765],[218],[3290966572]

2019-06-11T13:04:33.884323Z,"[""eui-b827ebfffe869f8d""]",[-109],[4.5],[43.61499],[7.07144],[129],[1593451420]

2019-06-11T13:04:35.877299Z,"[""eui-b827ebfffe962101"",""eui-b827ebfffe869f8d""]","[-117,-111]","[-9.5,2.8]","[43.61523,43.61499]","[7.07274,7.07144]","[113,129]","[1557430548,1595441860]"

2019-06-11T13:04:44.246192Z,"[""eui-0000024b08031311""]",[-108],[6.8],[43.475],[5.60765],[218],[3307212476]

2019-06-11T13:04:58.891533Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-105,-118]","[8,-11]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1618450484,1580439188]"

2019-06-11T13:05:00.492149Z,"[""eui-0000024b08031311""]",[-119],[-3.2],[43.47501],[5.60765],[215],[3323458436]

2019-06-11T13:05:00.877379Z,"[""eui-b827ebfffe869f8d""]",[-109],[1.2],[43.61499],[7.07144],[129],[1620441172]

2019-06-11T13:05:16.738089Z,"[""eui-0000024b08031311""]",[-119],[-1.2],[43.47501],[5.60765],[215],[3339704380]

2019-06-11T13:05:23.890252Z,"[""eui-b827ebfffe869f8d""]",[-105],[4.5],[43.61499],[7.07144],[129],[1643449596]

2019-06-11T13:05:30.879006Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-108,-119]","[4.2,-10.5]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1650440348,1612429052]"

2019-06-11T13:05:32.984005Z,"[""eui-0000024b08031311""]",[-116],[0],[43.47497],[5.60762],[220],[3355950300]

2019-06-11T13:05:36.897644Z,"[""eui-0000024b08031311""]",[-117],[-4.2],[43.47497],[5.60762],[220],[3359863940]

2019-06-11T13:05:48.888062Z,"[""eui-b827ebfffe869f8d""]",[-105],[7],[43.61499],[7.07144],[129],[1668448740]

2019-06-11T13:05:49.229983Z,"[""eui-0000024b08031311""]",[-115],[-0.2],[43.47497],[5.60762],[220],[3372196284]

2019-06-11T13:05:55.876894Z,"[""eui-b827ebfffe962101"",""eui-b827ebfffe869f8d""]","[-120,-108]","[-12,6]","[43.61523,43.61499]","[7.07274,7.07144]","[113,129]","[1637427284,1675438572]"

2019-06-11T13:06:05.475884Z,"[""eui-0000024b08031311""]",[-115],[-0.2],[43.47496],[5.60762],[224],[3388442188]

2019-06-11T13:06:13.885239Z,"[""eui-b827ebfffe962101"",""eui-b827ebfffe869f8d""]","[-119,-105]","[-9.5,7.5]","[43.61523,43.61499]","[7.07274,7.07144]","[113,129]","[1655436636,1693447916]"

2019-06-11T13:06:20.873925Z,"[""eui-b827ebfffe962101"",""eui-b827ebfffe869f8d""]","[-117,-106]","[-7.2,3.5]","[43.61523,43.61499]","[7.07274,7.07144]","[113,129]","[1662426516,1700437796]"

2019-06-11T13:06:37.967788Z,"[""eui-0000024b08031311""]",[-115],[2.8],[43.47495],[5.60763],[229],[3420934100]

2019-06-11T13:06:38.881765Z,"[""eui-b827ebfffe962101"",""eui-b827ebfffe869f8d""]","[-117,-108]","[-12,4.2]","[43.61523,43.61499]","[7.07274,7.07144]","[113,129]","[1680435684,1718446964]"

2019-06-11T13:06:45.87038Z,"[""eui-b827ebfffe962101"",""eui-b827ebfffe869f8d""]","[-117,-109]","[-11.2,3.8]","[43.61523,43.61499]","[7.07274,7.07144]","[113,129]","[1687425492,1725436764]"

2019-06-11T13:07:08.884267Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-109,-120]","[3.8,-10]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1748445268,1710434004]"

2019-06-11T13:07:10.45965Z,"[""eui-0000024b08031311""]",[-114],[3],[43.47504],[5.60769],[218],[3453425972]

2019-06-11T13:07:10.872287Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-109,-115]","[3.5,-7.8]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1750436076,1712424804]"

2019-06-11T13:07:26.705615Z,"[""eui-0000024b08031311""]",[-117],[4],[43.4751],[5.60772],[213],[3469671940]

2019-06-11T13:07:33.877706Z,"[""eui-b827ebfffe962101"",""eui-b827ebfffe869f8d""]","[-118,-107]","[-7.2,6]","[43.61523,43.61499]","[7.07274,7.07144]","[113,129]","[1735433228,1773444492]"

2019-06-11T13:07:35.86874Z,"[""eui-b827ebfffe869f8d""]",[-108],[5],[43.61499],[7.07144],[129],[1775434404]

2019-06-11T13:07:42.951523Z,"[""eui-0000024b08031311""]",[-116],[-2.2],[43.4751],[5.60772],[213],[3485917852]

2019-06-11T13:07:58.881343Z,"[""eui-b827ebfffe869f8d""]",[-107],[6.8],[43.61499],[7.07144],[129],[1798443836]

2019-06-11T13:07:59.197485Z,"[""eui-0000024b08031311""]",[-111],[-7.2],[43.47507],[5.6077],[221],[3502163820]

2019-06-11T13:08:00.866243Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-106,-117]","[4,-11.8]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1800433780,1762422532]"

2019-06-11T13:08:15.443441Z,"[""eui-0000024b08031311""]",[-119],[-3],[43.47507],[5.6077],[221],[3518409780]

2019-06-11T13:08:15.879777Z,"[""eui-0000024b08031311""]",[-119],[-0.8],[43.47507],[5.6077],[221],[3518846116]

2019-06-11T13:08:23.876069Z,"[""eui-b827ebfffe869f8d""]",[-107],[3.5],[43.61499],[7.07144],[129],[1823443092]

2019-06-11T13:08:25.867132Z,"[""eui-b827ebfffe869f8d""]",[-108],[4],[43.61499],[7.07144],[129],[1825432284]

2019-06-11T13:08:31.689382Z,"[""eui-0000024b08031311""]",[-118],[-4.2],[43.47499],[5.60764],[232],[3534655724]

2019-06-11T13:08:48.875301Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-105,-117]","[5.8,-9.8]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1848441420,1810430180]"

2019-06-11T13:08:47.935322Z,"[""eui-0000024b08031311""]",[-118],[-1],[43.47499],[5.60764],[232],[3550901668]

2019-06-11T13:08:50.871029Z,"[""eui-b827ebfffe869f8d""]",[-107],[6.5],[43.61499],[7.07144],[129],[1850431676]

2019-06-11T13:09:04.181254Z,"[""eui-0000024b08031311""]",[-114],[3.2],[43.47499],[5.60762],[234],[3567147604]

2019-06-11T13:09:13.873671Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-108,-116]","[4,-9]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[1873440828,1835429588]"

